"",gene_symbol,GSM2114345,GSM2114346,GSM2114347,GSM2114348,GSM2114349,GSM2114350,GSM2114351,GSM2114352,GSM2114353,GSM2114354,GSM2114355,GSM2114356,GSM2114357,GSM2114358,GSM2114359,GSM2114360
ENSG00000234947,STK19,95.9051,25.9731,32.2713,75.2963,111.5889,41.8774,61.2223,76.2459,13.2653,32.6752,34.0599,34.4471,24.8596,13.4439,2.7834,78.6298
ENSG00000234948,LINC01524,22.2343,13.1962,10.0666,11.0062,5.8833,8.0234,12.3453,12.5388,14.7675,11.0474,18.2728,8.4865,7.2668,7.1721,7.4122,9.6111
ENSG00000234949,LOC105373958,2.0325,0,2.2401,0,2.0633,1.0074,1.0402,2.2244,0,1.1795,2.9172,1.0676,2.0144,0,1.0111,1.01
ENSG00000234951,SAPCD1,11.2196,0,0,3.006,1.1357,0.8262,0.3778,1.0548,0.919,7.5711,11.3614,1.5022,1.7342,6.5748,0.6597,0
ENSG00000234953,LOC101927434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234954,MAS1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234956,LOC100507406,2.8819,2.0264,0.9667,0.9706,0,1.0572,0,0,0,0,1.0054,0,0,0,0,0
ENSG00000234962,LINC00700,2.1547,7.4171,4.4369,4.5303,9.2038,4.3017,2.1308,2.247,4.1381,4.3506,1.041,2.211,5.479,2.3824,5.9242,2.5431
ENSG00000234965,SHISA8,15.0539,10.2971,6.6368,1.9134,25.8157,9.5986,23.5345,0,2.8441,20.647,0.9257,1.9261,18.9859,0,7.8876,0.9602
ENSG00000234973,LOC102724264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234996,LOC148709,15.44,8.2711,22.5891,9.0222,16.5477,24.7832,10.2415,17.1168,10.5158,10.2669,16.8565,7.2752,19.1577,8.1959,5.4373,14.7427
ENSG00000235016,SEMA3F-AS1,505.6196,397.7846,380.9941,318.771,365.396,305.7589,318.4007,428.542,231.5683,325.8957,415.3946,304.5756,470.5589,198.4986,220.1639,193.3406
ENSG00000235017,C2,13.041,30.6644,14.8146,16.5025,11.5501,6.2819,29.7799,36.9115,16.4941,5.2396,4.52,8.1512,22.3667,10.0954,8.7517,13.6366
ENSG00000235022,RNF39,18.3234,0,0,3.0947,0,4.4502,7.612,0,0,6.889,0,0,29.4201,0,4.0832,0
ENSG00000235025,TRIM10,0,1.3313,0,52.8558,0,6.3483,5.5423,8.6632,0,0,0,0,0,0,0.92,0
ENSG00000235026,DPP10-AS1,0,0,0.9952,0.9987,0,0,0,0,1.0043,0,0,0,0,0,0,1.0184
ENSG00000235030,IER3,337.9005,2675.6388,1031.2772,320.2318,176.8407,414.2801,311.7847,398.6277,251.2962,118.7509,0,139.5161,1830.7338,0,263.1322,191.0463
ENSG00000235033,LOC100505635,5.9822,24.5241,14.1936,26.4886,0,11.9597,62.7487,2.5111,5.0784,5.178,0.4299,0.8959,9.5407,3.4957,0.8722,4.8484
ENSG00000235034,C19orf81,0,0,0,0,1.119,0,0.5943,0,0,0,0,1.1353,0,0,1.1969,1.159
ENSG00000235049,LINC00940,9.896,2.9571,4.9883,5.043,11.9933,3.0147,6.927,2.0281,4.9769,1.9733,1.9473,4.0567,19.958,5.144,2.9716,6.0453
ENSG00000235054,LOC284661,1.4227,0,0,0,1.4351,4.4355,0,0.73,0,2.1276,0,2.1661,0.7178,0.7384,2.24,0.754
ENSG00000235059,LOC101929148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5261,0,0
ENSG00000235067,TUBB,960.2803,1433.0716,0,240.6882,396.0489,820.1663,28.7258,492.1071,301.8022,819.3135,21.1934,332.4361,384.2521,30.2664,515.5662,251.8313
ENSG00000235068,POU5F1,1.1359,2.3664,3.9279,0,0.6885,1.1534,0,0,0,0,0,0,0,0,0,0
ENSG00000235092,ID2-AS1,12.6535,12.1771,3.1848,1.6013,11.378,11.2253,5.715,3.6247,4.1648,6.4483,5.542,2.5137,10.7417,1.6215,5.6813,4.2437
ENSG00000235097,LINC00330,4.1713,4.381,0,0,6.6862,2.4275,2.2367,3.4884,8.7387,2.0714,7.7659,1.1673,7.3022,2.3661,2.1314,6.3049
ENSG00000235098,ANKRD65,0,2.37,0,2.215,4.4394,0,0,0,2.1925,0,4.4675,4.7036,1.583,4.758,1.1314,3.9139
ENSG00000235106,LINC00094,244.1374,187.0524,142.8028,185.5469,429.945,265.4496,174.7183,159.4788,241.2907,174.181,183.837,234.7567,214.5584,127.2768,236.0249,167.7882
ENSG00000235107,RING1,172.9353,0,0,122.9676,0,303.6568,0,0,334.6984,107.8976,0,19.3266,248.6412,0,340.7022,0
ENSG00000235109,ZSCAN31,36.0896,26.9353,9.6793,15.7817,36.7031,15.9255,26.9426,16.729,22.1385,22.6529,15.9842,17.7168,38.5777,16.1585,15.0099,18.2596
ENSG00000235118,LOC200726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235123,DSCAM-AS1,2.6232,2.4528,1.6462,3.3993,5.0469,4.9261,1.2583,3.6512,2.6555,1.2257,0,5.0271,7.5452,0,2.5496,0
ENSG00000235125,NFKBIL1,66.5396,0,0,0.0104,109.29,2.0387,0,1e-04,0.0371,1.3896,39.5427,0,0,0,48.5639,65.2664
ENSG00000235132,OR2H1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235134,CYP21A2,5.6793,6.4776,2.213,4.3723,1.4387,5.1564,5.9551,8.9415,2.2048,1.3195,3.2182,2.2387,2.219,2.8374,4.5743,8.2482
ENSG00000235135,HCG23,0,0,0,3.3751,0.9415,0,0.3432,0.1933,0,0.3284,0,0,0,0.3929,0,0
ENSG00000235138,LOC100130548,50.4591,22.6623,26.9294,14.1122,20.98,15.0817,44.5818,17.2393,22.8955,21.7032,30.1772,23.3168,44.9002,7.1984,19.8353,13.1005
ENSG00000235139,LOC101927378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235142,LOC100422737,4.6446,8.4727,5.4175,4.3071,8.8034,1.1147,2.2979,2.2099,4.6909,3.4231,2.1716,6.3269,9.2093,2.2071,2.3032,3.3111
ENSG00000235143,LOC400748,8.8198,4.9784,10.1421,7.3927,23.2373,18.5076,11.0477,15.0074,13.4131,12.4843,4.4956,19.6738,17.3181,12.5194,9.1053,8.1106
ENSG00000235155,B3GALT4,95.7553,77.755,91.7147,69.9031,95.2641,79.7455,59.1117,50.1742,43.0232,32.0332,42.8756,58.7327,92.1799,48.4981,50.1082,49.8973
ENSG00000235156,TMEM30CP,0.8915,0.875,0,1.2828,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235162,C12orf75,1130.4509,861.0993,446.1948,280.7329,610.3558,633.565,223.4832,778.2534,592.3653,543.9628,510.8162,428.2,477.1765,272.8866,470.7824,439.4717
ENSG00000235166,LINC01440,0,0,0,0,0,0,0,0,0,0,0,0,0.9988,0,0,0
ENSG00000235169,SMIM1,112.8013,45.6419,13.8047,379.6102,72.6427,24.2448,25.0572,72.8551,120.4591,104.1977,64.8577,32.4533,88.1739,81.1303,9.204,4.9939
ENSG00000235173,HGH1,378.1673,286.9063,110.6255,294.5516,299.8824,231.2192,112.2174,266.7563,286.809,217.7678,89.3506,207.598,250.0356,157.5863,248.4931,195.3507
ENSG00000235176,ZNRD1,89.9419,69.6012,50.8806,57.9947,93.7443,64.9939,48.0925,105.6883,72.8184,48.0223,34.9857,60.4508,67.5061,54.4148,47.0671,65.4441
ENSG00000235178,ZNF311,0,0,1.536,0,0.9154,0,0.5289,0,0,0,0,0,0.6857,0.3513,0,0
ENSG00000235180,LINC00601,3.9526,3.9302,0.9955,1.0035,0.9962,3.032,0,3.0444,0,1.9719,2.9167,0,1.9946,0,1.003,1.0097
ENSG00000235185,LOC105378614,0,0,0,0,0,0,0,0,0,0,1.9662,0,0.9909,0,0,0
ENSG00000235191,NUCB1-AS1,2.9286,1.9226,0,0,1.9491,1.0312,2.0974,2.0215,0.9958,2.9294,6.7202,3.9551,0.9896,1.0019,3.1582,4.0539
ENSG00000235194,PPP1R3E,391.941,718.4215,223.376,347.1693,484.9397,368.626,273.8273,292.589,411.7745,379.6,240.8602,303.317,550.4098,392.4271,529.8336,471.1184
ENSG00000235202,LINC01525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235214,FAM83C-AS1,3.9574,0.9686,0.9867,0,1.9644,1.0543,0,1.0241,1.0097,0,1.9454,0.9967,1.0028,0,0,0
ENSG00000235217,TSPY26P,226.2863,141.0937,292.325,167.2742,339.9207,195.4772,183.7424,308.5519,197.7869,178.8439,147.6981,213.5437,306.7496,143.0203,125.621,154.3856
ENSG00000235220,HLA-F,349.3391,472.416,498.0573,472.578,969.0757,496.6133,309.236,350.3658,244.7495,514.7416,362.6065,502.3026,623.2568,199.098,336.6896,267.7034
ENSG00000235222,MSH5,23.5503,33.6877,44.6332,13.5695,47.5097,27.5702,13.7087,21.6336,18.5386,42.7717,28.9517,29.4657,14.4502,18.8743,48.5132,30.146
ENSG00000235233,MICA,605.3817,208.8822,251.4418,374.0391,558.9973,15.221,187.194,25.0695,83.64,407.8553,161.9521,340.2522,75.9867,137.8044,91.5908,271.6168
ENSG00000235244,DANT2,145.288,168.9308,61.3824,64.4282,115.4887,67.7788,80.5515,73.0134,93.9743,163.1624,86.6351,59.809,107.7585,26.7349,115.067,62.4809
ENSG00000235250,C2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235257,ITGA9-AS1,96.5535,61.9999,81.6514,64.4791,80.9605,67.7701,41.1509,51.8056,58.2379,50.2478,43.2535,35.3192,70.8935,24.4055,40.9855,48.0416
ENSG00000235259,TRIM15,1.0378,0.1125,0.2277,1.1336,0.9737,0.1004,0.1979,0.1013,0.8723,0.6758,0.1112,0.2026,0.2986,0.6489,0.2264,0.8045
ENSG00000235268,KDM4E,0,3.9418,2.9922,2.0167,3.9967,1.0047,0.9894,1.0138,5.9709,0.9864,0,2.0278,0.9977,1.0285,0.9904,2.0146
ENSG00000235271,LINC01422,5.9128,8.741,3.9472,3.9409,11.3321,5.9211,10.3787,6.1177,2.987,3.9144,7.0259,4.9595,4.9863,6.0291,3.1723,8.1651
ENSG00000235273,LOC101929006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235284,SNORD62A,19.6284,26.4747,11.8939,10.1302,14.4114,9.0289,7.9508,7.7528,8.4417,10.0464,8.3883,7.9428,18.1943,4.9051,10.9025,6.6739
ENSG00000235285,SMIM2-IT1,0,0,0,0,0,1.0006,0,0,0,0,0,0,0,0,0,0
ENSG00000235291,PPP1R10,624.4439,278.017,1176.6778,293.6462,355.1694,348.6282,713.2823,337.2852,265.8968,260.6172,470.2929,374.5992,1504.1006,313.0069,264.3823,326.1967
ENSG00000235295,FLJ41941,3.1121,2.0786,1.0047,0,4.1429,2.0185,0,6.102,6.0026,5.6235,5.8637,5.1008,4.1416,1.0292,1.2129,3.0505
ENSG00000235300,THRA1/BTR,8.4163,4.485,2.3311,4.0932,3.3257,5.6858,6.4861,8.1609,5.5844,8.5325,1.3289,0,4.9744,1.5315,3.7798,3.2672
ENSG00000235302,LY6G6D,0.8513,0.344,0,0.1703,0.6602,0,0,0,0.5234,0,0,0.2884,0,0,0,0
ENSG00000235304,LINC01281,6.717,7.7786,0.8463,13.5191,8.0797,0,4.2148,8.6771,0.8452,9.2104,0.8261,13.6608,19.4307,15.4408,5.0639,1.7116
ENSG00000235307,BRD2,223.2712,1299.9015,214.4192,1542.2714,232.2677,1237.4185,363.0787,139.1553,228.0168,1290.976,1238.0113,144.6892,218.3541,135.4663,71.4515,83.9047
ENSG00000235336,SLC44A4,0,0,0.5087,0,0,0.11,0.109,0,0.2324,0,0.1071,0,1.5141,0,0,0
ENSG00000235343,LOC101929350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235346,HLA-G,0.1961,2.1597,0,0.3613,0.3592,0.5264,0.2021,0.2612,2.4048,0,0,0.4859,0,0.3694,0.2368,0
ENSG00000235358,LOC102723924,0,1.8306,0.4474,0,0,0.6138,0,0,0,0,0,0,0.5934,0.9182,0.4656,0
ENSG00000235360,C6orf47,581.978,287.5326,615.0574,342.0437,435.2497,2e-04,205.547,720.8452,510.0209,543.1242,129.4716,547.0411,88.4883,194.0326,395.523,504.4498
ENSG00000235374,SSR4P1,28.1537,38.828,12.697,25.2179,18.9543,21.0507,18.9772,34.5238,42.5205,13.0684,24.9048,13.4995,21.9555,32.4398,21.3325,19.8299
ENSG00000235376,RPEL1,0,0,0,0,0,0,0,0,1.0017,0,0,0,0,0,0,1.0175
ENSG00000235387,LINC00961,10.6967,7.7386,7.4708,11.6457,7.4365,4.5578,11.6295,11.0723,12.0098,9.6144,5.2591,5.9318,14.095,5.4723,12.9985,7.7973
ENSG00000235396,NOTCH4,28.021,26.0687,10.9108,16.2673,39.7987,18.3668,17.2449,26.5369,4.3901,21.9622,14.3639,16.3525,34.5049,27.0891,16.0401,10.1565
ENSG00000235397,EPN2-AS1,1.9921,8.0431,0,1.0418,5.0661,1.031,0,1.0287,3.1975,3.0792,4.0244,1.1242,1.0577,4.1847,1.0187,3.1911
ENSG00000235407,LOC440602,0,0,0,0,0,0,0.9804,0,0,0,0,0,0,0,0,0
ENSG00000235408,SNORA71B,6.0746,36.1314,4.2705,15.3782,3.423,3.7213,12.7925,6.2573,13.184,7.736,8.5342,12.4214,16.3402,1.7715,6.6574,2.7034
ENSG00000235412,TTTY4,0.33,0,0,0,0,0,0,0.3387,0,0,0,0,0,0.3425,0,0.6737
ENSG00000235415,LOC105372672,3.9163,2.8834,2.9365,2.9159,1.9488,5.2023,1.0612,5.0699,0.9997,0,3.8508,1.9775,0.9929,2.0056,1.0655,3.057
ENSG00000235436,DPY19L2P4,0,5.9137,2.9932,1.2505,0,1.0062,0,0,0,0,0.9738,1.9895,1.2568,2.0572,1.0729,2.0166
ENSG00000235437,LINC01278,483.9062,569.9346,104.9706,228.578,344.1206,258.3998,166.4901,355.1046,266.8303,242.042,164.2202,212.3431,389.3722,174.0774,411.9489,315.1802
ENSG00000235438,LOC105370105,6.5609,1.7598,1.6774,2.9186,1.1206,0.5654,7.1044,6.7625,8.4592,3.3201,0,5.9067,6.6292,7.2733,7.1944,3.5653
ENSG00000235439,DDX39B,307.0439,505.2904,130.0936,85.4659,223.3265,219.7912,99.0261,630.8827,87.5433,105.7818,118.166,451.2691,173.7399,140.783,455.8407,171.6183
ENSG00000235441,OR10C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235443,ZNRD1,81.3939,51.3315,43.051,48.5644,73.2316,55.2643,42.6227,89.0852,61.1418,42.1265,26.4049,52.8149,63.831,44.5054,44.6787,52.5009
ENSG00000235448,LURAP1L-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
