Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.7608695652173914,0.7393650793650794,0.7754248366013072,0.7456107730448501,0.9299383538993926
SVM,0.782608695652174,0.7723737373737374,0.8154248366013072,0.77617790706026,0.9737555038836392
KNN,0.9347826086956522,0.9252777777777779,0.9364705882352942,0.9300534759358289,0.9791693399505789
Random Forest,0.9130434782608695,0.8977777777777778,0.924705882352941,0.9086898395721924,0.990330975115025
Gradient Boosting,0.9347826086956522,0.9475,0.9364705882352942,0.9373737373737374,0.9893553653589274
XGBoost,0.9347826086956522,0.9475,0.9364705882352942,0.9373737373737374,0.9871627170632762
LightGBM,0.9347826086956522,0.9475,0.9364705882352942,0.9373737373737374,0.9883456126463688
