Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
SVM,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
KNN,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
Random Forest,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
Gradient Boosting,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
XGBoost,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
LightGBM,0.9130434782608695,0.9066666666666666,0.924705882352941,0.9127777777777778,0.9827666340317721
