,0
S100A10,0.013367846728024704
FMO5,0.012977785262642191
PTPRR,0.012074291223263249
MYLK3,0.012007938494546755
GXYLT1P4,0.010135102214576763
RORC,0.008875633483261237
PPP1R3G,0.00881295313881521
KATNIP,0.008253968253968253
HAP1,0.007979591836734695
FBXL16,0.007952042129356261
JADE1,0.007797390891840609
WDHD1,0.007416171757164405
SDC3,0.007158062911238954
CTTN,0.007133538975644239
KIF11,0.0070744680851063824
CPLANE1,0.006990173847316705
LYPLAL1,0.006857142857142857
TNFRSF1A,0.006857142857142856
UTP20,0.00673878205128205
C16orf70,0.006683250865382573
OSGEPL1,0.006669444444444445
RTL8B,0.006649923696875524
NCOR2,0.006624491209226072
SLC23A3,0.006621746674378252
IL6ST,0.0065625000000000015
PCDH17,0.006353383458646616
LINGO4,0.006333333333333333
ZNF660,0.006265248034697751
PLOD2,0.006259259259259259
MME,0.006247170816136334
CWC22,0.006204495093383983
ZKSCAN5,0.006204495093383983
NPW,0.006204185894463155
LMLN,0.006176141658900279
SASH1,0.00615
ACAD11,0.006143170197224252
ATG2B,0.006095604395604395
LOC101926913,0.006095604395604394
NFIC,0.006080210387902696
LINC01317,0.006039009752438111
ATP11A,0.005961137218045114
COL4A6,0.005866194809571959
ODF2,0.0057692307692307696
HECTD3,0.005768307322929171
ABALON,0.005763712424307958
GNPTAB,0.00576036866359447
PLCL1,0.005756578947368421
PTPRM,0.005750306372549019
CPOX,0.005714285714285714
TMEM59,0.0056980961425405876
FGF10-AS1,0.0056897959183673475
RNF168,0.005558383609854199
CRAMP1,0.005547226386806596
TSPAN13,0.005538804945054944
VPS41,0.005538804945054944
RPLP1,0.0055116212338593975
RNF185,0.005511621233859396
BCL6,0.005497076023391814
COX19,0.005477616853192891
TMEM255B,0.005477616853192889
PROK1,0.005416666666666668
RTN3,0.005401785714285713
SDCBP2,0.005333333333333333
CYP26A1,0.005333333333333333
H2AC6,0.005312499999999999
GRB10,0.005297148400956308
PODXL,0.005272196620583717
BUB3,0.005267806267806268
WASHC2A,0.005267806267806268
