,0
GHITM,0.022222222222222227
R3HDM4,0.011111111111111113
PLCB3,0.011111111111111113
MRPL49,0.011111111111111113
PBX2,0.011111111111111113
PPP2R3B,0.011111111111111113
TMEM184A,0.011111111111111113
PGLYRP1,0.011111111111111113
ZNF786,0.011111111111111113
NIPBL,0.011111111111111113
ADCK1,0.011111111111111113
NT5DC3,0.011111111111111113
PEAR1,0.011111111111111113
SCAPER,0.011111111111111113
TM7SF3,0.011111111111111113
PSTK,0.011111111111111113
SLC38A9,0.011111111111111113
MED16,0.011111111111111113
RNF13,0.011111111111111113
LOC100129917,0.011111111111111113
AMPD2,0.011111111111111113
ZSWIM4,0.011111111111111113
DHRS7B,0.011111111111111113
HIST1H2BC,0.011111111111111113
TRAPPC12,0.011111111111111113
APCDD1,0.011111111111111113
PNMA8A,0.011111111111111113
SYS1,0.011111111111111113
DDOST,0.011111111111111113
SELENON,0.011111111111111113
VMAC,0.011111111111111113
HRH1,0.011111111111111113
RBM23,0.011111111111111113
TRIM22,0.011111111111111113
SYNJ1,0.011111111111111113
DGCR6,0.011111111111111113
MLXIP,0.011111111111111113
GOT2,0.011111111111111113
UQCC3,0.011111111111111113
KIAA1211,0.011111111111111113
JAM2,0.011111111111111113
IL27RA,0.011111111111111113
DUSP22,0.011111111111111113
SETD7,0.011111111111111113
PPP1CB,0.011111111111111113
CA5BP1,0.011111111111111113
PHLDA3,0.011111111111111113
BCL2L1,0.011111111111111113
SLC12A6,0.011111111111111113
GSTK1,0.011111111111111113
SLC35B3,0.011111111111111113
KRTAP10-3,0.011111111111111113
HEXIM1,0.011111111111111113
LINC02418,0.011111111111111113
ASCL4,0.011111111111111113
RNF217-AS1,0.011111111111111113
DUS2,0.011111111111111113
UTP23,0.011111111111111113
TPK1,0.011111111111111113
CALCRL,0.011111111111111113
LNP1,0.011111111111111113
ZWINT,0.011111111111111113
SLC25A11,0.011111111111111113
PRKD2,0.011111111111111113
CYBA,0.011111111111111113
UBA3,0.011111111111111113
CNPPD1,0.011111111111111113
ESPL1,0.011111111111111113
SMOX,0.011111111111111113
NAPA,0.011111111111111113
PRPF38B,0.011111111111111113
TRIM40,0.011111111111111113
TRIM39,0.011111111111111113
ATP6AP2,0.011111111111111113
MTURN,0.011111111111111113
PHACTR1,0.011111111111111113
AK2,0.011111111111111113
ADGRE5,0.011111111111111113
PQLC1,0.011111111111111113
DOPEY2,0.011111111111111113
VTA1,0.011111111111111113
RAP1A,0.011111111111111113
ICE1,0.011111111111111113
PSMB8-AS1,0.011111111111111113
HIST1H2AL,0.011111111111111113
EIPR1,0.011111111111111113
GP1BA,0.011111111111111113
AOC3,0.011111111111111113
KCNG4,0.011111111111111113
